-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2015 through 01/01/2020 
Location: Latitude  50.1215   Longitude 22.0097 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 230.89 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
WS10M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 10 Meters (m/s) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) 
WS50M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 50 Meters (m/s) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 Clear Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_RANGE,TS,T2M,RH2M,PS,WS50M,WS10M,WS50M_RANGE,WS10M_RANGE,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN
50.12151,22.00971,2015,01,01,    5.45,   -1.88,   -1.75,   92.09,  100.07,    8.06,    6.16,    1.74,    0.88,-999,              0.30
50.12151,22.00971,2015,01,02,    4.27,   -0.52,   -0.16,   90.06,   99.25,   11.16,    8.53,    4.60,    4.15,              0.96,              0.59
50.12151,22.00971,2015,01,03,    2.99,    0.62,    1.21,   86.11,   98.71,   13.33,    9.91,    3.80,    3.08,-999,              0.50
50.12151,22.00971,2015,01,04,    2.93,   -0.47,   -0.07,   85.74,   98.11,   12.03,    9.02,    3.32,    2.80,-999,              0.55
50.12151,22.00971,2015,01,05,    3.39,   -1.38,   -1.14,   83.99,   98.86,   10.64,    8.00,    4.44,    4.08,-999,              0.49
50.12151,22.00971,2015,01,06,   11.54,   -8.04,   -7.49,   73.39,   99.76,    6.91,    4.94,    6.87,    5.54,-999,              0.60
50.12151,22.00971,2015,01,07,    7.63,  -11.22,  -10.71,   73.49,  100.43,    5.56,    4.18,    4.46,    4.26,-999,              0.78
50.12151,22.00971,2015,01,08,    5.13,   -6.55,   -6.52,   79.12,   99.99,    9.08,    7.20,    4.86,    4.24,-999,              0.46
50.12151,22.00971,2015,01,09,    7.79,   -0.20,    0.34,   91.28,   98.37,   13.53,   10.29,    4.17,    3.57,-999,              0.55
50.12151,22.00971,2015,01,10,    5.70,    2.65,    3.38,   96.97,   97.36,   12.34,    8.95,    8.99,    6.35,-999,              0.40
50.12151,22.00971,2015,01,11,    5.45,    0.34,    1.05,   86.84,   97.67,   12.34,    8.97,    4.62,    3.21,-999,              0.68
50.12151,22.00971,2015,01,12,    3.41,    1.18,    1.66,   90.01,   98.57,   11.77,    8.72,    3.47,    3.41,-999,              0.56
50.12151,22.00971,2015,01,13,    5.68,    1.32,    2.02,   83.48,   98.85,   11.00,    8.02,    3.68,    2.23,              1.13,              1.11
50.12151,22.00971,2015,01,14,    6.49,    1.07,    1.55,   87.55,   98.56,    9.72,    7.02,    5.46,    5.64,              1.14,              0.90
50.12151,22.00971,2015,01,15,    4.71,   -0.10,    0.55,   94.49,   98.86,    7.12,    4.37,    6.36,    4.90,-999,              0.56
50.12151,22.00971,2015,01,16,    5.41,    0.17,    0.77,   85.11,   98.78,    9.98,    6.87,    2.53,    3.69,              1.18,              1.13
50.12151,22.00971,2015,01,17,    6.93,    1.34,    1.93,   83.71,   98.52,    9.71,    6.76,    6.94,    6.95,-999,              1.09
50.12151,22.00971,2015,01,18,    4.22,    0.40,    0.88,   97.81,   98.93,    4.23,    2.59,    3.35,    2.28,-999,              0.25
